Field1,Field2,Field3_text,Field3_links,Field4
ЭЛЕКТРОПРИВОД ПРУЖИННЫЙ ДЛЯ БОРЬБЫ С ГОЛОЛЕДОМ ВОЗДУШНЫХ ЛИНИЙ,"Исмагилов Ф.Р., Янгиров И.Ф., Максудов Д.В., Каланов Х.Х.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34486621,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2017. 
Т. 17. № 2.  С. 29-33.
"
ОСВЕЩЕНИЕ ПУНКТОВ ДИСПЕТЧЕРСКОГО УПРАВЛЕНИЯ В ЭНЕРГЕТИКЕ,"Кудряшов А.В., Калинина А.С., Аверьянов Ю.И., Кирпичникова И.М.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34486621,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2017. 
Т. 17. № 2.  С. 34-40.
"
БЕСКОНТАКТНОЕ ИЗМЕРЕНИЕ ПАРАМЕТРОВ ДВИЖЕНИЯ ДЛИННОМЕРНЫХ МАТЕРИАЛОВ,"Брякин И.В., Бочкарев И.В.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34467586,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2017. 
Т. 17. № 1.  С. 47-55.
"
ОБ ОСОБЕННОСТЯХ МОДЕЛИРОВАНИЯ ЭЛЕКТРОПРИВОДОВ ПРИ СЛУЧАЙНОМ ХАРАКТЕРЕ НАГРУЖЕНИЯ,"Браславский И.Я., Метельков В.П., Костылев А.В., Есаулкова Д.В.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34467586,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2017. 
Т. 17. № 1.  С. 69-76.
"
МАТЕМАТИЧЕСКИЙ АНАЛИЗ И МОДЕЛИРОВАНИЕ ПРЕОБРАЗОВАТЕЛЯ ЧАСТОТЫ МАТРИЧНОГО ТИПА С НЕПОСРЕДСТВЕННЫМ УПРАВЛЕНИЕМ ПО МЕТОДУ ПРОСТРАНСТВЕННО-ВЕКТОРНОЙ МОДУЛЯЦИИ,"Мещеряков В.Н., Байков Д.В.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34056136,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2015. 
Т. 15. № 1.  С. 21-33.
"
ВЕКТОРНАЯ ШИМ ДЛЯ ДВУХСЕКЦИОННОГО ПРЕОБРАЗОВАТЕЛЯ ЧАСТОТЫ,Костылев А.В.,Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34061933,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2015. 
Т. 15. № 2.  С. 34-40.
"
ЭКСПЕРИМЕНТАЛЬНОЕ ИССЛЕДОВАНИЕ НЕКОМПЕНСИРОВАННОГО ВЫПРЯМИТЕЛЯ С ВЕКТОРНЫМ УПРАВЛЕНИЕМ,"Хохлов Ю.И., Дудкин М.М., Сафонов В.И., Лонзингер П.В.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34114914,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2015. 
Т. 15. № 3.  С. 45-51.
"
МАТЕМАТИЧЕСКОЕ МОДЕЛИРОВАНИЕ ВЗАИМОСВЯЗАННЫХ ЭЛЕКТРОМЕХАНИЧЕСКИХ СИСТЕМ НЕПРЕРЫВНОЙ ПОДГРУППЫ КЛЕТЕЙ ПРОКАТНОГО СТАНА. ЧАСТЬ 1. РАЗРАБОТКА МАТЕМАТИЧЕСКОЙ МОДЕЛИ,"Радионов А.А., Карандаев А.С., Евдокимов А.С., Андрюшин И.Ю., Гостев А.Н., Шубин А.Г.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34056136,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2015. 
Т. 15. № 1.  С. 59-73.
"
УПРАВЛЕНИЕ ТИРИСТОРНЫМИ КЛЮЧАМИ НА ПЕРВИЧНОЙ СТОРОНЕ ВОЛЬТОРЕГУЛИРУЮЩИХ ТРАНСФОРМАТОРОВ,"Файда Е.Л., Сивкова А.П.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34193543,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2015. 
Т. 15. № 4.  С. 69-73.
"
ЭЛЕКТРОМЕХАНИЧЕСКИЕ СИЛОКОМПЕНСИРУЮЩИЕ СИСТЕМЫ ПОДЪЁМНО-ТРАНСПОРТНЫХ МАНИПУЛЯТОРОВ,"Пятибратов Г.Я., Сухенко Н.А.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34043950,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2014. 
Т. 14. № 4.  С. 67-75.
"
ЭЛЕКТРОПРИВОДЫ С СИНХРОННОЙ РЕАКТИВНОЙ МАШИНОЙ НЕЗАВИСИМОГО ВОЗБУЖДЕНИЯ ДЛЯ СТАНОВ ХОЛОДНОЙ ПРОКАТКИ ТРУБ,"Усынин Ю.С., Лохов С.П., Григорьев М.А., Шишков А.Н., Белоусов Е.В.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=33735708,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2012. 
№ 16 (275).  С. 107-110.
"
ПАРАМЕТРИЧЕСКАЯ ОПТИМИЗАЦИЯ ЧАСТОТНО-РЕГУЛИРУЕМЫХ ЭЛЕКТРОПРИВОДОВ,"Усынин Ю.С., Григорьев М.А., Шишков А.Н., Лохов С.П., Журавлев А.М.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=33785970,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2012. 
№ 37 (296).  С. 30-33.
"
СИНТЕЗ СИСТЕМЫ УПРАВЛЕНИЯ ЭЛЕКТРОПРИВОДОМ С СИНХРОННОЙ РЕАКТИВНОЙ МАШИНОЙ НЕЗАВИСИМОГО ВОЗБУЖДЕНИЯ,"Усынин Ю.С., Григорьев М.А., Шишков А.Н., Гладышев С.П., Горожанкин А.Н.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=33785970,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2012. 
№ 37 (296).  С. 38-41.
"
ИССЛЕДОВАНИЕ ПОЛОЖЕНИЯ ВЕКТОРА ПОТОКОСЦЕПЛЕНИЯ РОТОРА ПРИ ВЕКТОРНО-ИМПУЛЬСНОМ ПУСКЕ,"Басков С.Н., Коньков А.С., Черкас Т.В., Лицин К.В.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=33785970,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2012. 
№ 37 (296).  С. 68-72.
"
"ХАРАКТЕРИСТИКА ПОВРЕЖДАЕМОСТИ СЕТЕВЫХ И БЛОЧНЫХ ТРАНСФОРМАТОРОВ ОАО ""МАГНИТОГОРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""",Карандаева О.И.,Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=33699156,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2011. 
№ 34 (251).  С. 15-20.
"
РАЗВИТИЕ ЧАСТОТНЫХ МЕТОДОВ СИНТЕЗА ЭЛЕКТРОПРИВОДОВ С СИНХРОННЫМИ ЭЛЕКТРИЧЕСКИМИ МАШИНАМИ,"Усынин Ю.С., Григорьев М.А., Шишков А.Н., Бычков А.Е., Белоусов Е.В.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=33699156,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2011. 
№ 34 (251).  С. 21-27.
"
СОВЕРШЕНСТВОВАНИЕ АЛГОРИТМА СОГЛАСОВАНИЯ СКОРОСТЕЙ ЭЛЕКТРОПРИВОДОВ КЛЕТЕЙ ЧЕРНОВОЙ ГРУППЫ СТАНА ГОРЯЧЕЙ ПРОКАТКИ,"Карандаев А.С., Храмшин В.Р., Галкин В.В., Гостев А.Н.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=33699156,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2011. 
№ 34 (251).  С. 35-41.
"
